FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE,Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente),_merge
A,1004,ROADACC,9,2024,4,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1006,KILLINJ,F,2020,8,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2021,4,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2022,8,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2023,4,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2024,2,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2020,0,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2021,0,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2022,1,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2023,0,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2024,0,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,ROADACC,9,2020,6,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,ROADACC,9,2021,3,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,ROADACC,9,2022,8,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,ROADACC,9,2023,2,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,ROADACC,9,2024,2,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1007,KILLINJ,F,2020,1,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,KILLINJ,F,2021,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,KILLINJ,F,2022,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,KILLINJ,F,2023,2,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,KILLINJ,M,2020,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,KILLINJ,M,2021,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
