ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ),INCIDENTI_PRO_CAPITE(1000),DENSITA_INCIDENTI,DENSITA_POPOLAZIONE
1075,incidenti_stradali,incidenti,2021,0,201,Chialamberto,353,35.4478,0.0,0.0,9.958304887750439
1075,incidenti_stradali,incidenti,2022,0,201,Chialamberto,353,35.4478,0.0,0.0,9.958304887750439
1075,incidenti_stradali,incidenti,2023,0,201,Chialamberto,353,35.4478,0.0,0.0,9.958304887750439
1075,incidenti_stradali,incidenti,2024,1,201,Chialamberto,353,35.4478,2.8328611898017,0.02821049543272079,9.958304887750439
1076,incidenti_stradali,incidenti,2020,5,201,Chianocco,1569,18.6134,3.1867431485022304,0.2686236797146142,84.29411069444595
1076,incidenti_stradali,incidenti,2021,4,201,Chianocco,1569,18.6134,2.5493945188017846,0.2148989437716914,84.29411069444595
1076,incidenti_stradali,incidenti,2022,5,201,Chianocco,1569,18.6134,3.1867431485022304,0.2686236797146142,84.29411069444595
1076,incidenti_stradali,incidenti,2023,5,201,Chianocco,1569,18.6134,3.1867431485022304,0.2686236797146142,84.29411069444595
1076,incidenti_stradali,incidenti,2024,5,201,Chianocco,1569,18.6134,3.1867431485022304,0.2686236797146142,84.29411069444595
1077,incidenti_stradali,incidenti,2020,1,201,Chiaverano,2021,12.0221,0.4948045522018803,0.08318014323620665,168.10706948037364
1077,incidenti_stradali,incidenti,2021,5,201,Chiaverano,2021,12.0221,2.474022761009401,0.41590071618103325,168.10706948037364
1077,incidenti_stradali,incidenti,2022,1,201,Chiaverano,2021,12.0221,0.4948045522018803,0.08318014323620665,168.10706948037364
1077,incidenti_stradali,incidenti,2023,4,201,Chiaverano,2021,12.0221,1.9792182088075212,0.3327205729448266,168.10706948037364
1077,incidenti_stradali,incidenti,2024,1,201,Chiaverano,2021,12.0221,0.4948045522018803,0.08318014323620665,168.10706948037364
1078,incidenti_stradali,incidenti,2020,39,201,Chieri,36001,54.1975,1.0833032415766228,0.719590387010471,664.2557313529222
1078,incidenti_stradali,incidenti,2021,50,201,Chieri,36001,54.1975,1.388850309713619,0.9225517782185525,664.2557313529222
1078,incidenti_stradali,incidenti,2022,43,201,Chieri,36001,54.1975,1.1944112663537123,0.7933945292679552,664.2557313529222
1078,incidenti_stradali,incidenti,2023,60,201,Chieri,36001,54.1975,1.6666203716563428,1.107062133862263,664.2557313529222
1078,incidenti_stradali,incidenti,2024,65,201,Chieri,36001,54.1975,1.8055054026277049,1.1993173116841183,664.2557313529222
1079,incidenti_stradali,incidenti,2020,0,201,Chiesanuova,233,4.1189,0.0,0.0,56.56850129889048
1079,incidenti_stradali,incidenti,2021,0,201,Chiesanuova,233,4.1189,0.0,0.0,56.56850129889048
1079,incidenti_stradali,incidenti,2022,0,201,Chiesanuova,233,4.1189,0.0,0.0,56.56850129889048
1079,incidenti_stradali,incidenti,2023,0,201,Chiesanuova,233,4.1189,0.0,0.0,56.56850129889048
1080,incidenti_stradali,incidenti,2020,2,201,Chiomonte,860,26.7549,2.3255813953488373,0.07475266212918008,32.14364471554743
1080,incidenti_stradali,incidenti,2021,1,201,Chiomonte,860,26.7549,1.1627906976744187,0.03737633106459004,32.14364471554743
1080,incidenti_stradali,incidenti,2022,4,201,Chiomonte,860,26.7549,4.651162790697675,0.14950532425836016,32.14364471554743
