ID_COMUNE,COMUNE,OBS_VALUE,RESIDENTI,SUPERFICIE (KMQ),DENSITA_POPOLAZIONE,DENSITA_INCIDENTI,INCIDENTI_PRO_CAPITE(1000)
1001,Agliè,14,2545,13.1462,193.59206462704051,1.0649465244709497,5.50098231827112
1002,Airasca,30,3633,15.7393,230.82348007852954,1.9060568132000788,8.257638315441783
1003,Ala di Stura,2,459,46.3315,9.906866818471235,0.04316717567961322,4.357298474945535
1004,Albiano d'Ivrea,15,1638,11.7314,139.625279165317,1.278619772576163,9.157509157509159
1006,Almese,21,6355,17.8756,355.51254223634453,1.1747857414576295,3.3044846577498035
1007,Alpette,2,235,5.6261,41.769609498586945,0.3554860382858463,8.51063829787234
1008,Alpignano,118,16484,11.9193,1382.9671205523814,9.89991022962758,7.158456685270566
1009,Andezeno,9,2013,7.486,268.9019503072402,1.2022441891530857,4.470938897168406
1010,Andrate,1,488,9.3085,52.42520277166031,0.10742869420422194,2.0491803278688527
1011,Angrogna,0,838,38.8782,21.554495835712558,0.0,0.0
1012,Arignano,6,1080,8.1668,132.24273889405887,0.7346818827447715,5.555555555555555
1013,Avigliana,158,12351,23.2172,531.9762934376239,6.805299519321882,12.792486438345072
1014,Azeglio,3,1235,9.9605,123.98975955022338,0.3011896993122835,2.4291497975708505
1015,Bairo,10,787,7.0859,111.06563739256835,1.4112533340860018,12.706480304955527
1016,Balangero,20,3064,13.0063,235.57814289997924,1.5377163374672276,6.5274151436031325
1017,Baldissero Canavese,9,533,4.5064,118.27622936268418,1.997159595242322,16.885553470919326
1018,Baldissero Torinese,12,3671,15.4054,238.29306606774247,0.7789476417360146,3.2688640697357667
1019,Balme,1,110,62.7105,1.754092217411757,0.015946292885561427,9.09090909090909
1020,Banchette,8,3112,2.0289,1533.8360688057567,3.9430233131253387,2.5706940874035986
1021,Barbania,4,1585,12.8027,123.80201051340732,0.3124340959328892,2.523659305993691
1022,Bardonecchia,22,3078,132.203,23.28237634546871,0.16641074710861326,7.147498375568551
1023,Barone Canavese,1,559,3.9864,140.226771021473,0.25085289985952236,1.7889087656529516
1024,Beinasco,136,17532,6.7343,2603.3886224254934,20.195120502502114,7.757243896874287
1025,Bibiana,9,3392,18.5979,182.38618338629632,0.4839256045037343,2.6533018867924527
