ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1007,incidenti_stradali,incidenti,2020,1,201,Alpette,235,5.6261
1007,incidenti_stradali,incidenti,2021,0,201,Alpette,235,5.6261
1007,incidenti_stradali,incidenti,2022,0,201,Alpette,235,5.6261
1007,incidenti_stradali,incidenti,2023,1,201,Alpette,235,5.6261
1008,morti_e_feriti,feriti,2020,25,201,Alpignano,16484,11.9193
1008,morti_e_feriti,feriti,2021,46,201,Alpignano,16484,11.9193
1008,morti_e_feriti,feriti,2022,31,201,Alpignano,16484,11.9193
1008,morti_e_feriti,feriti,2023,36,201,Alpignano,16484,11.9193
1008,morti_e_feriti,feriti,2024,24,201,Alpignano,16484,11.9193
1008,morti_e_feriti,morti,2020,0,201,Alpignano,16484,11.9193
1008,morti_e_feriti,morti,2021,0,201,Alpignano,16484,11.9193
1008,morti_e_feriti,morti,2022,0,201,Alpignano,16484,11.9193
1008,morti_e_feriti,morti,2023,1,201,Alpignano,16484,11.9193
1008,morti_e_feriti,morti,2024,0,201,Alpignano,16484,11.9193
1008,incidenti_stradali,incidenti,2020,18,201,Alpignano,16484,11.9193
1008,incidenti_stradali,incidenti,2021,30,201,Alpignano,16484,11.9193
1008,incidenti_stradali,incidenti,2022,23,201,Alpignano,16484,11.9193
1008,incidenti_stradali,incidenti,2023,27,201,Alpignano,16484,11.9193
1008,incidenti_stradali,incidenti,2024,20,201,Alpignano,16484,11.9193
1009,morti_e_feriti,feriti,2020,1,201,Andezeno,2013,7.486
1009,morti_e_feriti,feriti,2021,2,201,Andezeno,2013,7.486
1009,morti_e_feriti,feriti,2022,3,201,Andezeno,2013,7.486
1009,morti_e_feriti,feriti,2023,4,201,Andezeno,2013,7.486
1009,morti_e_feriti,feriti,2024,3,201,Andezeno,2013,7.486
1009,morti_e_feriti,morti,2020,0,201,Andezeno,2013,7.486
1009,morti_e_feriti,morti,2021,0,201,Andezeno,2013,7.486
1009,morti_e_feriti,morti,2022,0,201,Andezeno,2013,7.486
1009,morti_e_feriti,morti,2023,0,201,Andezeno,2013,7.486
1009,morti_e_feriti,morti,2024,0,201,Andezeno,2013,7.486
1009,incidenti_stradali,incidenti,2020,1,201,Andezeno,2013,7.486
1009,incidenti_stradali,incidenti,2021,2,201,Andezeno,2013,7.486
1009,incidenti_stradali,incidenti,2022,2,201,Andezeno,2013,7.486
1009,incidenti_stradali,incidenti,2023,2,201,Andezeno,2013,7.486
1009,incidenti_stradali,incidenti,2024,2,201,Andezeno,2013,7.486
1010,morti_e_feriti,feriti,2020,0,201,Andrate,488,9.3085
1010,morti_e_feriti,feriti,2021,0,201,Andrate,488,9.3085
1010,morti_e_feriti,feriti,2022,0,201,Andrate,488,9.3085
1010,morti_e_feriti,feriti,2023,0,201,Andrate,488,9.3085
1010,morti_e_feriti,feriti,2024,1,201,Andrate,488,9.3085
1010,morti_e_feriti,morti,2020,0,201,Andrate,488,9.3085
1010,morti_e_feriti,morti,2021,0,201,Andrate,488,9.3085
1010,morti_e_feriti,morti,2022,0,201,Andrate,488,9.3085
1010,morti_e_feriti,morti,2023,0,201,Andrate,488,9.3085
1010,morti_e_feriti,morti,2024,0,201,Andrate,488,9.3085
1010,incidenti_stradali,incidenti,2020,0,201,Andrate,488,9.3085
1010,incidenti_stradali,incidenti,2021,0,201,Andrate,488,9.3085
