Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente)
201,1144,Marentino,1306,11.2593,2020
201,1145,Massello,56,38.2587,2020
201,1146,Mathi,3795,7.0706,2020
201,1147,Mattie,647,28.6942,2020
201,1148,Mazzè,4169,27.3424,2020
201,1149,Meana di Susa,809,16.5439,2020
201,1150,Mercenasco,1283,12.6383,2020
201,1152,Mezzenile,760,29.0871,2020
201,1153,Mombello di Torino,383,4.0825,2020
201,1154,Mompantero,639,30.3332,2020
201,1155,Monastero di Lanzo,331,17.6554,2020
201,1156,Moncalieri,56319,47.5288,2020
201,1157,Moncenisio,41,4.5007,2020
201,1158,Montaldo Torinese,723,4.6567,2020
201,1159,Montalenghe,985,6.4681,2020
201,1160,Montalto Dora,3349,7.3567,2020
201,1161,Montanaro,5119,20.9036,2020
201,1162,Monteu da Po,842,7.3896,2020
201,1163,Moriondo Torinese,852,6.4895,2020
201,1164,Nichelino,46512,20.5627,2020
201,1165,Noasca,107,78.0481,2020
201,1166,Nole,6770,11.353,2020
201,1167,Nomaglio,291,3.0743,2020
201,1168,None.,7849,24.6422,2020
201,1169,Novalesa,526,28.5542,2020
201,1170,Oglianico,1453,6.303,2020
201,1171,Orbassano,23061,22.2078,2020
201,1172,Orio Canavese,764,7.1541,2020
201,1173,Osasco,1173,5.4885,2020
201,1174,Osasio,929,4.5771,2020
201,1175,Oulx,3264,99.7857,2020
201,1176,Ozegna,1187,5.4058,2020
201,1177,Palazzo Canavese,842,5.0819,2020
201,1178,Pancalieri,2005,15.8878,2020
201,1179,Parella,419,2.6886,2020
201,1180,Pavarolo,1124,4.4056,2020
201,1181,Pavone Canavese,3680,11.54,2020
201,1183,Pecetto Torinese,3992,9.173,2020
201,1184,Perosa Argentina,3133,26.0906,2020
201,1185,Perosa Canavese,521,4.708,2020
201,1186,Perrero,600,63.183,2020
201,1187,Pertusio,747,4.0041,2020
201,1188,Pessinetto,629,5.3498,2020
201,1189,Pianezza,15446,16.4634,2020
201,1190,Pinasca,2843,34.7183,2020
201,1191,Pinerolo,35480,50.3376,2020
201,1192,Pino Torinese,8281,21.8196,2020
201,1193,Piobesi Torinese,3823,19.6488,2020
201,1194,Piossasco,18102,40.1459,2020
201,1195,Piscina,3335,9.9034,2020
201,1196,Piverone,1333,11.0343,2020
201,1197,Poirino,10202,75.6186,2020
201,1198,Pomaretto,970,8.5611,2020
201,1199,Pont Canavese,3116,19.0609,2020
201,1200,Porte,1076,4.4476,2020
201,1201,Pragelato,762,89.2017,2020
201,1202,Prali,252,72.6092,2020
201,1203,Pralormo,1891,29.8455,2020
201,1204,Pramollo,223,22.4785,2020
201,1205,Prarostino,1250,10.5052,2020
201,1206,Prascorsano,738,6.2419,2020
201,1207,Pratiglione,460,7.8803,2020
201,1208,Quagliuzzo,327,2.038,2020
201,1209,Quassolo,338,3.9559,2020
201,1210,Quincinetto,997,17.7879,2020
201,1211,Reano,1763,6.6658,2020
201,1212,Ribordone,48,43.6002,2020
201,1213,Rivalba,1124,10.8334,2020
201,1214,Rivalta di Torino,20127,25.1076,2020
201,1215,Riva presso Chieri,4734,35.8318,2020
201,1216,Rivara,2527,12.5838,2020
201,1217,Rivarolo Canavese,12302,32.2459,2020
201,1218,Rivarossa,1542,10.8733,2020
201,1219,Rivoli,47807,29.4998,2020
201,1220,Robassomero,3042,8.5756,2020
201,1221,Rocca Canavese,1664,14.1912,2020
201,1222,Roletto,1962,9.7039,2020
201,1223,Romano Canavese,2606,11.2106,2020
201,1224,Ronco Canavese,296,96.2686,2020
201,1225,Rondissone,1867,10.6877,2020
201,1226,Rorà,228,12.4075,2020
201,1227,Roure,789,59.3732,2020
201,1228,Rosta,5044,9.065,2020
201,1229,Rubiana,2352,26.9371,2020
201,1230,Rueglio,777,15.1002,2020
201,1231,Salassa,1809,4.9519,2020
201,1232,Salbertrand,609,38.3198,2020
201,1233,Salerano Canavese,462,2.1034,2020
201,1234,Salza di Pinerolo,75,15.8859,2020
201,1235,Samone,1501,2.433,2020
201,1236,San Benigno Canavese,5955,22.2318,2020
201,1237,San Carlo Canavese,3980,20.9068,2020
201,1238,San Colombano Belmonte,362,3.3809,2020
201,1239,San Didero,512,3.3037,2020
201,1240,San Francesco al Campo,4839,14.9796,2020
201,1241,Sangano,3683,6.6513,2020
201,1242,San Germano Chisone,1707,15.8616,2020
201,1243,San Gillio,3173,8.8866,2020
201,1244,San Giorgio Canavese,2520,20.4049,2020
201,1245,San Giorio di Susa,978,19.7366,2020
201,1246,San Giusto Canavese,3247,9.6132,2020
201,1247,San Martino Canavese,811,9.7933,2020
201,1248,San Maurizio Canavese,10144,17.3442,2020
201,1249,San Mauro Torinese,18589,12.5517,2020
201,1250,San Pietro Val Lemina,1439,12.4446,2020
201,1251,San Ponso,257,2.1243,2020
201,1252,San Raffaele Cimena,3098,11.152,2020
201,1253,San Sebastiano da Po,1855,16.5766,2020
201,1254,San Secondo di Pinerolo,3615,12.5719,2020
201,1255,Sant'Ambrogio di Torino,4597,8.3683,2020
201,1256,Sant'Antonino di Susa,4060,9.7945,2020
201,1257,Santena,10556,16.1983,2020
201,1258,Sauze di Cesana,250,78.2772,2020
201,1259,Sauze d'Oulx,1081,17.3112,2020
201,1260,Scalenghe,3226,31.6768,2020
201,1261,Scarmagno,806,8.0308,2020
201,1262,Sciolze,1432,11.3557,2020
201,1263,Sestriere,922,25.9158,2020
201,1264,Settimo Rottaro,467,6.0578,2020
201,1265,Settimo Torinese,46348,31.4505,2020
201,1266,Settimo Vittone,1513,23.2604,2020
201,1267,Sparone,933,29.6785,2020
201,1268,Strambinello,266,2.214,2020
201,1269,Strambino,6092,22.4686,2020
201,1270,Susa,5992,10.9879,2020
201,1271,Tavagnasco,774,8.6751,2020
201,1272,Torino,858205,130.0645,2020
201,1273,Torrazza Piemonte,2974,9.8238,2020
201,1274,Torre Canavese,616,5.4545,2020
201,1275,Torre Pellice,4554,21.0981,2020
201,1276,Trana,3788,16.4059,2020
201,1278,Traversella,323,39.3597,2020
201,1279,Traves,506,10.4544,2020
201,1280,Trofarello,10611,12.3475,2020
201,1281,Usseaux,180,37.9669,2020
201,1282,Usseglio,200,98.5375,2020
201,1283,Vaie,1398,7.2292,2020
201,1284,Val della Torre,3965,36.5253,2020
201,1285,Valgioie,947,9.12,2020
201,1286,Vallo Torinese,788,6.0792,2020
201,1287,Valperga,2991,11.9094,2020
201,1288,Valprato Soana,93,71.8527,2020
201,1289,Varisella,845,22.5579,2020
201,1290,Vauda Canavese,1443,7.0929,2020
201,1291,Venaus,877,19.1435,2020
201,1292,Venaria Reale,32682,20.4424,2020
201,1293,Verolengo,4766,29.4882,2020
201,1294,Verrua Savoia,1340,31.9431,2020
201,1295,Vestignè,765,12.0691,2020
201,1296,Vialfrè,242,4.6453,2020
201,1298,Vidracco,495,2.9677,2020
201,1299,Vigone,5070,41.1543,2020
201,1300,Villafranca Piemonte,4489,50.7854,2020
201,1301,Villanova Canavese,1194,4.0306,2020
201,1302,Villarbasse,3467,10.4088,2020
201,1303,Villar Dora,2785,5.7067,2020
201,1304,Villareggia,996,11.4091,2020
201,1305,Villar Focchiardo,1948,25.6868,2020
201,1306,Villar Pellice,1045,60.2927,2020
201,1307,Villar Perosa,3888,11.4228,2020
201,1308,Villastellone,4504,19.8767,2020
201,1309,Vinovo,15070,17.6941,2020
201,1310,Virle Piemonte,1151,14.0573,2020
201,1311,Vische,1189,17.0748,2020
201,1312,Vistrorio,518,4.6817,2020
201,1313,Viù,1021,84.1119,2020
201,1314,Volpiano,15167,32.4629,2020
201,1315,Volvera,8495,20.9827,2020
201,1316,Mappano,7354,9.7589,2020
201,1317,Val di Chy,1236,13.831,2020
201,1318,Valchiusa,987,49.6245,2020
2,2002,Alagna Valsesia,725,133.1704,2020
2,2003,Albano Vercellese,309,13.7804,2020
2,2004,Alice Castello,2506,24.565,2020
2,2006,Arborio,844,23.3101,2020
2,2007,Asigliano Vercellese,1389,26.3156,2020
2,2008,Balmuccia,117,9.7885,2020
2,2009,Balocco,220,16.8079,2020
2,2011,Bianzè,1848,41.8058,2020
