Codice Ripartizione geografica,Codice Regione,Codice Provincia/Uts,Codice Comune (alfanumerico),Codice Comune (numerico),Comune,Comune (dizione straniera),Sigla automobilistica,Capoluogo di Provincia/Uts,Capoluogo di Regione,Popolazione legale,Anno Censimento,Superficie (Kmq),Anno (Superficie),Popolazione residente,Anno (Popolazione residente),TIME_PERIOD,Codice Provincia (Storico)
1,1,1,1001,1001,Agliè,,TO,0,0,2574.0,2001,"13,1462",2001,2557,2001,2001,
1,1,1,1002,1002,Airasca,,TO,0,0,3554.0,2001,"15,7393",2001,3543,2001,2001,
1,1,1,1003,1003,Ala di Stura,,TO,0,0,479.0,2001,"46,3315",2001,480,2001,2001,
1,1,1,1004,1004,Albiano d'Ivrea,,TO,0,0,1696.0,2001,"11,7315",2001,1687,2001,2001,
1,1,1,1005,1005,Alice Superiore,,TO,0,0,616.0,2001,"7,3796",2001,619,2001,2001,
1,1,1,1006,1006,Almese,,TO,0,0,5658.0,2001,"17,8756",2001,5648,2001,2001,
1,1,1,1007,1007,Alpette,,TO,0,0,300.0,2001,"5,6261",2001,293,2001,2001,
1,1,1,1008,1008,Alpignano,,TO,0,0,16648.0,2001,"11,9193",2001,16647,2001,2001,
1,1,1,1009,1009,Andezeno,,TO,0,0,1705.0,2001,"7,4861",2001,1712,2001,2001,
1,1,1,1010,1010,Andrate,,TO,0,0,476.0,2001,"9,3085",2001,474,2001,2001,
1,1,1,1011,1011,Angrogna,,TO,0,0,777.0,2001,"38,8782",2001,777,2001,2001,
1,1,1,1012,1012,Arignano,,TO,0,0,898.0,2001,"8,1668",2001,908,2001,2001,
1,1,1,1013,1013,Avigliana,,TO,0,0,11070.0,2001,"23,2172",2001,11066,2001,2001,
1,1,1,1014,1014,Azeglio,,TO,0,0,1274.0,2001,"9,9606",2001,1272,2001,2001,
1,1,1,1015,1015,Bairo,,TO,0,0,788.0,2001,"7,0859",2001,796,2001,2001,
1,1,1,1016,1016,Balangero,,TO,0,0,3048.0,2001,"13,0063",2001,3025,2001,2001,
1,1,1,1017,1017,Baldissero Canavese,,TO,0,0,513.0,2001,"4,5064",2001,514,2001,2001,
1,1,1,1018,1018,Baldissero Torinese,,TO,0,0,3244.0,2001,"15,4054",2001,3258,2001,2001,
1,1,1,1019,1019,Balme,,TO,0,0,101.0,2001,"62,7105",2001,99,2001,2001,
1,1,1,1020,1020,Banchette,,TO,0,0,3427.0,2001,"2,0289",2001,3414,2001,2001,
1,1,1,1021,1021,Barbania,,TO,0,0,1479.0,2001,"12,8027",2001,1480,2001,2001,
1,1,1,1022,1022,Bardonecchia,,TO,0,0,3038.0,2001,"132,2029",2001,3029,2001,2001,
1,1,1,1023,1023,Barone Canavese,,TO,0,0,588.0,2001,"3,9864",2001,586,2001,2001,
1,1,1,1024,1024,Beinasco,,TO,0,0,18198.0,2001,"6,7343",2001,18216,2001,2001,
1,1,1,1025,1025,Bibiana,,TO,0,0,2856.0,2001,"18,5980",2001,2850,2001,2001,
1,1,1,1026,1026,Bobbio Pellice,,TO,0,0,598.0,2001,"94,0819",2001,593,2001,2001,
1,1,1,1027,1027,Bollengo,,TO,0,0,1997.0,2001,"14,2234",2001,1977,2001,2001,
1,1,1,1028,1028,Borgaro Torinese,,TO,0,0,12757.0,2001,"14,3261",2001,12755,2001,2001,
1,1,1,1029,1029,Borgiallo,,TO,0,0,496.0,2001,"6,9648",2001,494,2001,2001,
1,1,1,1030,1030,Borgofranco d'Ivrea,,TO,0,0,3631.0,2001,"13,4189",2001,3639,2001,2001,
1,1,1,1031,1031,Borgomasino,,TO,0,0,784.0,2001,"12,3711",2001,790,2001,2001,
1,1,1,1032,1032,Borgone Susa,,TO,0,0,2227.0,2001,"4,9617",2001,2223,2001,2001,
1,1,1,1033,1033,Bosconero,,TO,0,0,2927.0,2001,"10,9191",2001,2926,2001,2001,
1,1,1,1034,1034,Brandizzo,,TO,0,0,7430.0,2001,"6,2914",2001,7432,2001,2001,
1,1,1,1035,1035,Bricherasio,,TO,0,0,4020.0,2001,"22,7585",2001,4010,2001,2001,
1,1,1,1036,1036,Brosso,,TO,0,0,474.0,2001,"11,1350",2001,469,2001,2001,
1,1,1,1037,1037,Brozolo,,TO,0,0,435.0,2001,"8,9504",2001,434,2001,2001,
1,1,1,1038,1038,Bruino,,TO,0,0,7308.0,2001,"5,5701",2001,7306,2001,2001,
1,1,1,1039,1039,Brusasco,,TO,0,0,1664.0,2001,"14,3592",2001,1655,2001,2001,
1,1,1,1040,1040,Bruzolo,,TO,0,0,1337.0,2001,"12,5838",2001,1333,2001,2001,
1,1,1,1041,1041,Buriasco,,TO,0,0,1304.0,2001,"14,6868",2001,1301,2001,2001,
1,1,1,1042,1042,Burolo,,TO,0,0,1349.0,2001,"5,4759",2001,1344,2001,2001,
1,1,1,1043,1043,Busano,,TO,0,0,1367.0,2001,"5,0643",2001,1370,2001,2001,
1,1,1,1044,1044,Bussoleno,,TO,0,0,6457.0,2001,"37,1004",2001,6445,2001,2001,
1,1,1,1045,1045,Buttigliera Alta,,TO,0,0,6541.0,2001,"8,0973",2001,6560,2001,2001,
1,1,1,1046,1046,Cafasse,,TO,0,0,3516.0,2001,"10,2312",2001,3513,2001,2001,
1,1,1,1047,1047,Caluso,,TO,0,0,7132.0,2001,"39,4925",2001,7120,2001,2001,
1,1,1,1048,1048,Cambiano,,TO,0,0,5799.0,2001,"14,1314",2001,5789,2001,2001,
1,1,1,1049,1049,Campiglione Fenile,,TO,0,0,1284.0,2001,"11,0863",2001,1285,2001,2001,
1,1,1,1050,1050,Candia Canavese,,TO,0,0,1302.0,2001,"9,1317",2001,1301,2001,2001,
1,1,1,1051,1051,Candiolo,,TO,0,0,5113.0,2001,"11,8498",2001,5116,2001,2001,
1,1,1,1052,1052,Canischio,,TO,0,0,274.0,2001,"11,9505",2001,270,2001,2001,
1,1,1,1053,1053,Cantalupa,,TO,0,0,2073.0,2001,"11,1953",2001,2084,2001,2001,
1,1,1,1054,1054,Cantoira,,TO,0,0,544.0,2001,"23,0319",2001,543,2001,2001,
1,1,1,1055,1055,Caprie,,TO,0,0,1883.0,2001,"16,4066",2001,1889,2001,2001,
1,1,1,1056,1056,Caravino,,TO,0,0,1008.0,2001,"11,5371",2001,1006,2001,2001,
1,1,1,1057,1057,Carema,,TO,0,0,770.0,2001,"10,2578",2001,762,2001,2001,
1,1,1,1058,1058,Carignano,,TO,0,0,8647.0,2001,"50,6894",2001,8639,2001,2001,
1,1,1,1059,1059,Carmagnola,,TO,0,0,24911.0,2001,"95,7149",2001,24941,2001,2001,
1,1,1,1060,1060,Casalborgone,,TO,0,0,1704.0,2001,"20,1250",2001,1698,2001,2001,
1,1,1,1061,1061,Cascinette d'Ivrea,,TO,0,0,1449.0,2001,"2,1725",2001,1452,2001,2001,
1,1,1,1062,1062,Caselette,,TO,0,0,2643.0,2001,"14,3137",2001,2640,2001,2001,
1,1,1,1063,1063,Caselle Torinese,,TO,0,0,15857.0,2001,"28,7115",2001,15852,2001,2001,
1,1,1,1064,1064,Castagneto Po,,TO,0,0,1425.0,2001,"11,4732",2001,1414,2001,2001,
1,1,1,1065,1065,Castagnole Piemonte,,TO,0,0,1875.0,2001,"17,2796",2001,1872,2001,2001,
