ID_COMUNE,COMUNE,INCIDENTI_TOTALI,RESIDENTI,SUPERFICIE (KMQ),ID_REGIONE,REGIONE,INCIDENTI_MEDI_ANNUI,DENSITA_POPOLAZIONE,DENSITA_INCIDENTI_MEDIA,INCIDENTI_PRO_CAPITE(1000)_MEDIA,CLASSE_DEMOGRAFICA,CLASSE_SUPERFICIE
1001,Agliè,95,2630.5416666666665,13.146216666666668,1,Piemonte,3.9583333333333335,200.0987609870013,0.30110057012600583,1.504759792818336,Piccolo,Piccolo
1002,Airasca,262,3699.0416666666665,15.7393,1,Piemonte,10.916666666666666,235.01945236869915,0.693592895914473,2.951214841681967,Piccolo,Piccolo
1003,Ala di Stura,6,463.875,46.331516666666666,1,Piemonte,0.25,10.012083207579002,0.0053958950189054175,0.5389382915656157,Molto piccolo,Piccolo
1004,Albiano d'Ivrea,107,1696.0,11.7327875,1,Piemonte,4.458333333333333,144.55217909639973,0.37998926796665605,2.6287342767295594,Piccolo,Piccolo
1005,Alice Superiore,21,687.2222222222222,7.3796,1,Piemonte,0.875,93.12458970977048,0.11857011220120332,1.2732417138237673,Molto piccolo,Molto piccolo
1006,Almese,127,6233.541666666667,17.875349999999997,1,Piemonte,5.291666666666667,348.72277559134045,0.2960314996163246,0.848902108886735,Medio,Piccolo
1007,Alpette,7,263.30434782608694,5.626752173913044,1,Piemonte,0.2916666666666667,46.795085279715764,0.05183570515490312,1.1077168648172613,Molto piccolo,Molto piccolo
1008,Alpignano,775,16915.166666666668,11.9193,1,Piemonte,32.291666666666664,1419.140945077871,2.709191535297095,1.9090362692258425,Medio,Piccolo
1009,Andezeno,53,1961.9166666666667,7.4859875,1,Piemonte,2.2083333333333335,262.0785389591776,0.294995594546923,1.1255999660196239,Piccolo,Molto piccolo
1010,Andrate,7,496.0,9.308583333333333,1,Piemonte,0.2916666666666667,53.28415530469191,0.0313330886368316,0.5880376344086021,Molto piccolo,Molto piccolo
1011,Angrogna,7,846.6521739130435,38.87818695652174,1,Piemonte,0.2916666666666667,21.777048782132557,0.00750206451223776,0.3444940858282408,Molto piccolo,Piccolo
1012,Arignano,21,1039.7916666666667,8.166766666666668,1,Piemonte,0.875,127.31986955261772,0.1071415452055689,0.8415147265077139,Piccolo,Molto piccolo
1013,Avigliana,1025,12112.958333333334,23.217216666666662,1,Piemonte,42.708333333333336,521.7231034727822,1.8395113396452207,3.5258383755688643,Medio,Piccolo
1014,Azeglio,49,1297.5416666666667,9.959220833333333,1,Piemonte,2.0416666666666665,130.28545991507872,0.2050026503914086,1.573488327285572,Piccolo,Molto piccolo
1015,Bairo,54,804.5416666666666,7.0859,1,Piemonte,2.25,113.5412109494442,0.3175320001693504,2.7966233362680617,Molto piccolo,Molto piccolo
1016,Balangero,65,3116.75,13.006333333333332,1,Piemonte,2.7083333333333335,239.63325559342886,0.20823188702939596,0.8689607229753216,Piccolo,Piccolo
1017,Baldissero Canavese,61,522.375,4.5064,1,Piemonte,2.5416666666666665,115.91847150718976,0.5640126634712113,4.865597830421951,Molto piccolo,Molto piccolo
1018,Baldissero Torinese,80,3657.1666666666665,15.405266666666668,1,Piemonte,3.3333333333333335,237.3971672025584,0.21637621765716486,0.9114523993984415,Piccolo,Piccolo
1019,Balme,3,106.95652173913044,62.7105,1,Piemonte,0.125,1.705560021673092,0.0019932866106951784,1.16869918699187,Molto piccolo,Medio
1020,Banchette,100,3271.4166666666665,2.0289,1,Piemonte,4.166666666666667,1612.4090229516814,2.053657975586114,1.273658201085157,Piccolo,Molto piccolo
1021,Barbania,14,1571.2608695652175,12.802700000000002,1,Piemonte,0.5833333333333334,122.72886731433348,0.04556330565687967,0.37125174096313307,Piccolo,Piccolo
1022,Bardonecchia,77,3097.125,132.20295833333333,1,Piemonte,3.2083333333333335,23.427047617126572,0.024268241602006514,1.0359069567206147,Piccolo,Grande
1023,Barone Canavese,18,589.4347826086956,3.9864,1,Piemonte,0.75,147.86142449545846,0.18813967489464178,1.2724053994246514,Molto piccolo,Molto piccolo
1024,Beinasco,1218,18007.333333333332,6.734683333333334,1,Piemonte,50.75,2673.820347900544,7.535617858795637,2.818296249676058,Medio,Molto piccolo
